state,date,cases_cumulative,deaths_cumulative,cases_perday,deaths_perday,population,postal_code,fips,cases_percapita,,2711.69
Alabama,3/13/2020,6,0,6,0,4903185,AL,1,0.12,,
Alabama,3/14/2020,12,0,6,0,4903185,AL,1,0.24,,
Alabama,3/15/2020,23,0,11,0,4903185,AL,1,0.47,,
Alabama,3/16/2020,29,0,6,0,4903185,AL,1,0.59,,
Alabama,3/17/2020,39,0,10,0,4903185,AL,1,0.8,,
Alabama,3/18/2020,51,0,12,0,4903185,AL,1,1.04,,
Alabama,3/19/2020,78,0,27,0,4903185,AL,1,1.59,,
Alabama,3/20/2020,106,0,28,0,4903185,AL,1,2.16,,
Alabama,3/21/2020,131,0,25,0,4903185,AL,1,2.67,,
Alabama,3/22/2020,157,0,26,0,4903185,AL,1,3.2,,
Alabama,3/23/2020,196,0,39,0,4903185,AL,1,4,,
Alabama,3/24/2020,242,0,46,0,4903185,AL,1,4.94,,
Alabama,3/25/2020,386,1,144,1,4903185,AL,1,7.87,,
Alabama,3/26/2020,538,3,152,2,4903185,AL,1,10.97,,
Alabama,3/27/2020,639,4,101,1,4903185,AL,1,13.03,,
Alabama,3/28/2020,720,4,81,0,4903185,AL,1,14.68,,
Alabama,3/29/2020,830,5,110,1,4903185,AL,1,16.93,,
Alabama,3/30/2020,947,11,117,6,4903185,AL,1,19.31,,
Alabama,3/31/2020,999,14,52,3,4903185,AL,1,20.37,,
Alabama,4/1/2020,1108,28,109,14,4903185,AL,1,22.6,,
Alabama,4/2/2020,1270,32,162,4,4903185,AL,1,25.9,,
Alabama,4/3/2020,1535,38,265,6,4903185,AL,1,31.31,,
Alabama,4/4/2020,1632,44,97,6,4903185,AL,1,33.28,,
Alabama,4/5/2020,1840,45,208,1,4903185,AL,1,37.53,,
Alabama,4/6/2020,2005,53,165,8,4903185,AL,1,40.89,,
Alabama,4/7/2020,2197,64,192,11,4903185,AL,1,44.81,,
Alabama,4/8/2020,2498,67,301,3,4903185,AL,1,50.95,,
Alabama,4/9/2020,2838,78,340,11,4903185,AL,1,57.88,,
Alabama,4/10/2020,3008,80,170,2,4903185,AL,1,61.35,,
Alabama,4/11/2020,3262,93,254,13,4903185,AL,1,66.53,,
Alabama,4/12/2020,3583,93,321,0,4903185,AL,1,73.07,,
Alabama,4/13/2020,3805,104,222,11,4903185,AL,1,77.6,,
Alabama,4/14/2020,3953,114,148,10,4903185,AL,1,80.62,,
Alabama,4/15/2020,4241,123,288,9,4903185,AL,1,86.49,,
Alabama,4/16/2020,4404,137,163,14,4903185,AL,1,89.82,,
Alabama,4/17/2020,4572,151,168,14,4903185,AL,1,93.25,,
Alabama,4/18/2020,4723,147,151,-4,4903185,AL,1,96.33,,
Alabama,4/19/2020,4903,160,180,13,4903185,AL,1,100,,
Alabama,4/20/2020,5078,164,175,4,4903185,AL,1,103.57,,
Alabama,4/21/2020,5327,186,249,22,4903185,AL,1,108.64,,
Alabama,4/22/2020,5610,201,283,15,4903185,AL,1,114.42,,
Alabama,4/23/2020,5832,197,222,-4,4903185,AL,1,118.94,,
Alabama,4/24/2020,6026,209,194,12,4903185,AL,1,122.9,,
Alabama,4/25/2020,6213,213,187,4,4903185,AL,1,126.71,,
